review_id,username,rating,date_variant,rasa,kualitas,kadaluarsa,likes,image_count,video_count,comment
17156585470,coklat201580049,5,2024-10-14 11:49,,,,Membantu?,0,0,
14808521598,abdias_t,5,2024-04-06 16:40,,,,Membantu?,0,0,
13250588628,f*****e,5,2023-11-18 10:21,,,,Membantu?,1,0,"Setelah dicoba, barang berfungsi dgn baik. Semoga awet"
